reward_variant,algo,split,learning_rate,batch_size,target_update_interval,hidden_units,subgroup,num_rows,num_students,action_match,dominant_policy_action,dominant_policy_action_rate,policy_collapsed,increase_sleep_rate,increase_activity_rate,increase_social_rate,policy_action_rate_none,policy_action_rate_increase_activity,policy_action_rate_decrease_activity,policy_action_rate_increase_sleep,policy_action_rate_decrease_sleep,policy_action_rate_increase_social,policy_action_rate_decrease_social,logged_action_rate_none,logged_action_rate_increase_activity,logged_action_rate_decrease_activity,logged_action_rate_increase_sleep,logged_action_rate_decrease_sleep,logged_action_rate_increase_social,logged_action_rate_decrease_social,reliable_support,num_episodes,td_error,value,pdis,trajectory_is,trajectory_wis,weighted_pdis,dr,effective_sample_size,weight_mean,weight_max,nonzero_weight_episodes,mood_improvement,direct_method_v0
reward_dense,double_dqn,val,0.0001,32,1000,256x256,low_activity,124,38,0.20161290322580644,increase_sleep,0.3467741935483871,False,0.3467741935483871,0.04838709677419355,0.08064516129032258,0.29838709677419356,0.04838709677419355,0.008064516129032258,0.3467741935483871,0.11290322580645161,0.08064516129032258,0.10483870967741936,0.3709677419354839,0.0,0.1935483870967742,0.04838709677419355,0.056451612903225805,0.13709677419354838,0.1935483870967742,True,38,0.18620167646662367,0.5471853275573061,0.05071566018035732,0.17454969245071586,0.5757765865128479,0.12560012641936083,0.46609571526030547,2.8501677651247364,0.3031552455230323,5.0,38,0.3333333730697632,0.5146072004970751
reward_dense,double_dqn,val,0.0001,32,1000,256x256,high_activity,54,27,0.12962962962962962,increase_sleep,0.2962962962962963,False,0.2962962962962963,0.1111111111111111,0.12962962962962962,0.24074074074074073,0.1111111111111111,0.05555555555555555,0.2962962962962963,0.05555555555555555,0.12962962962962962,0.1111111111111111,0.16666666666666666,0.5555555555555556,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.07407407407407407,0.12962962962962962,True,27,0.10961813712181526,0.4489085478363214,0.010104415514690691,0.005531752539469155,0.01887143507679802,0.1827128069642723,0.3118225596930869,2.142615014880013,0.2931283454044421,5.0,27,2.0,0.44521897065418736
reward_dense,double_dqn,val,0.0001,32,1000,256x256,low_social,69,31,0.17391304347826086,none,0.5072463768115942,False,0.2608695652173913,0.11594202898550725,0.014492753623188406,0.5072463768115942,0.11594202898550725,0.014492753623188406,0.2608695652173913,0.043478260869565216,0.014492753623188406,0.043478260869565216,0.18840579710144928,0.15942028985507245,0.10144927536231885,0.014492753623188406,0.057971014492753624,0.043478260869565216,0.43478260869565216,True,32,0.19044665491891583,0.6052770245334377,-0.008841782654215164,-0.010063336427852766,-0.024139752676653713,-0.028574573469814086,0.14193119057099676,3.2372989574029596,0.41687819103405,5.0,32,0.3333333730697632,0.530302959959954
reward_dense,double_dqn,val,0.0001,32,1000,256x256,high_social,83,33,0.1566265060240964,increase_sleep,0.3253012048192771,False,0.3253012048192771,0.060240963855421686,0.20481927710843373,0.12048192771084337,0.060240963855421686,0.0,0.3253012048192771,0.1686746987951807,0.20481927710843373,0.12048192771084337,0.24096385542168675,0.14457831325301204,0.1566265060240964,0.07228915662650602,0.03614457831325301,0.3132530120481928,0.03614457831325301,True,33,0.18175983876628093,0.481463886438364,0.04730957731269453,0.042804724219981695,0.1811813884246798,0.19929930382012076,0.4727070907777874,3.59805509093715,0.2362534286339038,3.5543818882635265,33,2.0,0.5145891685829018
reward_dense,double_dqn,val,0.0001,32,1000,256x256,weekday,218,43,0.16972477064220184,increase_sleep,0.37155963302752293,False,0.37155963302752293,0.06880733944954129,0.10091743119266056,0.21559633027522937,0.06880733944954129,0.009174311926605505,0.37155963302752293,0.13302752293577982,0.10091743119266056,0.10091743119266056,0.3394495412844037,0.1559633027522936,0.11009174311926606,0.05504587155963303,0.05504587155963303,0.14678899082568808,0.13761467889908258,True,44,0.13346926990716237,0.4966543491485469,0.02395966970503426,-3.273578195084336e-05,-0.0002825875703108515,0.075296737741516,0.5013025056324794,1.0391200764484405,0.115842964766049,5.0,44,0.0833333432674408,0.5007807349955494
reward_dense,double_dqn,val,0.0001,32,1000,256x256,weekend,86,40,0.22093023255813954,none,0.3488372093023256,False,0.2441860465116279,0.08139534883720931,0.1511627906976744,0.3488372093023256,0.08139534883720931,0.023255813953488372,0.2441860465116279,0.06976744186046512,0.1511627906976744,0.08139534883720931,0.2558139534883721,0.1511627906976744,0.1744186046511628,0.046511627906976744,0.05813953488372093,0.13953488372093023,0.1744186046511628,True,40,0.17860974385410922,0.5274594783956228,0.04032590805665605,0.05686941732576809,0.20383845764799033,0.13487719683840282,0.35390416273669467,3.2661146318405594,0.2789925806050602,5.0,40,2.0,0.5313151290640235
reward_dense,double_dqn,val,0.0001,32,1000,256x256,early_term,124,43,0.2661290322580645,none,0.3064516129032258,False,0.23387096774193547,0.0967741935483871,0.16129032258064516,0.3064516129032258,0.0967741935483871,0.016129032258064516,0.23387096774193547,0.08870967741935484,0.16129032258064516,0.0967741935483871,0.33064516129032256,0.1532258064516129,0.14516129032258066,0.03225806451612903,0.06451612903225806,0.12903225806451613,0.14516129032258066,True,43,0.13337224509175008,0.5223329504651408,0.07472704061819083,0.23174067737479062,0.5009603471617199,0.1983009704174146,0.41600046989236616,4.576156151298709,0.46259285527838423,5.0,43,1.5,0.4543448736847833
reward_dense,double_dqn,val,0.0001,32,1000,256x256,late_term,81,40,0.09876543209876543,increase_sleep,0.30864197530864196,False,0.30864197530864196,0.08641975308641975,0.1111111111111111,0.2716049382716049,0.08641975308641975,0.024691358024691357,0.30864197530864196,0.14814814814814814,0.1111111111111111,0.04938271604938271,0.24691358024691357,0.20987654320987653,0.13580246913580246,0.04938271604938271,0.037037037037037035,0.14814814814814814,0.1728395061728395,True,40,0.13723618695533973,0.45365750200954486,0.009599734282205336,-0.0034305769218618636,-0.09131974843207522,0.0923391429752556,0.4371707163478657,1.2288786707272394,0.03756664884390883,1.354749487848864,40,0.3333333730697632,0.4339607797563076
reward_dense,double_dqn,test,0.0001,32,1000,256x256,mood_observed,26,7,0.07692307692307693,decrease_social,0.5384615384615384,False,0.0,0.15384615384615385,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.23076923076923078,0.0,0.5384615384615384,0.34615384615384615,0.11538461538461539,0.038461538461538464,0.19230769230769232,0.15384615384615385,0.11538461538461539,0.038461538461538464,True,7,0.40429531254295187,0.7333527247493083,-0.0004995776527151863,0.0006076639215850361,0.15609462972073124,0.08363352214860027,0.4947081713034142,2.9526117369698612,0.003892920100276397,0.010319685102161129,7,1.0,0.5077803922551019
reward_dense,double_dqn,test,0.0001,32,1000,256x256,mood_missing,279,41,0.2114695340501792,increase_sleep,0.3333333333333333,False,0.3333333333333333,0.12186379928315412,0.13620071684587814,0.26881720430107525,0.12186379928315412,0.02867383512544803,0.3333333333333333,0.06093189964157706,0.13620071684587814,0.05017921146953405,0.4050179211469534,0.1003584229390681,0.1111111111111111,0.03942652329749104,0.02867383512544803,0.15412186379928317,0.16129032258064516,True,45,0.05584735217796111,0.4602826958769218,0.022298586450350398,0.00649869016183762,0.025974810347572038,0.047637994595038806,0.5625077167928161,2.469723792660596,0.2501920158368,5.0,45,,0.5294309246871206
reward_dense,double_dqn,test,0.0001,32,1000,256x256,low_mood,18,7,0.05555555555555555,decrease_social,0.5,False,0.0,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.3333333333333333,0.0,0.5,0.5,0.0,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.05555555555555555,False,7,0.29946641896903103,0.5873721597923173,-0.0011152710156881714,-0.001803266145032642,-0.3558413147030222,-0.21316627603166133,0.4926335718694267,3.9315368361770693,0.005067613204322861,0.010319685102161129,7,1.0,0.5077803922551019
reward_dense,double_dqn,test,0.0001,32,1000,256x256,high_mood,8,4,0.125,decrease_social,0.625,False,0.0,0.375,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.625,0.0,0.375,0.0,0.25,0.125,0.25,0.0,False,4,1.1094666100107133,1.0618090331554413,0.09095157025381945,0.17949972912869486,0.7322982327000045,0.4190903488749651,0.8867216573245624,1.0490283606971427,0.245118342655115,0.957142857047143,4,,0.9648379385471344
reward_dense,double_dqn,test,0.0001,32,1000,256x256,low_sleep,117,22,0.19658119658119658,increase_sleep,0.358974358974359,False,0.358974358974359,0.06837606837606838,0.09401709401709402,0.3247863247863248,0.06837606837606838,0.0,0.358974358974359,0.06837606837606838,0.09401709401709402,0.08547008547008547,0.38461538461538464,0.08547008547008547,0.07692307692307693,0.0,0.08547008547008547,0.1794871794871795,0.18803418803418803,True,24,0.10766786173299751,0.5515211857536919,-0.002869911581996703,-0.0023136473504365776,-0.007486219906391493,0.0296587906325895,0.4020937761011311,2.016541101186463,0.30905415274553455,5.0,24,1.0,0.5272638013896843
reward_dense,double_dqn,test,0.0001,32,1000,256x256,normal_sleep,188,33,0.20212765957446807,increase_sleep,0.2712765957446808,False,0.2712765957446808,0.1595744680851064,0.14361702127659576,0.2074468085106383,0.1595744680851064,0.0425531914893617,0.2712765957446808,0.0797872340425532,0.14361702127659576,0.09574468085106383,0.4095744680851064,0.11170212765957446,0.12234042553191489,0.0851063829787234,0.010638297872340425,0.13297872340425532,0.1276595744680851,True,35,0.12098841238704311,0.44126630234631137,0.0330664805689753,0.00015355241464378594,0.001049849908691308,0.06174432247839258,0.626610141638078,1.0477938717803084,0.14626130208955004,5.0,35,,0.5245314664074353
reward_dense,double_dqn,test,0.0001,32,1000,256x256,low_activity,95,37,0.18947368421052632,none,0.28421052631578947,False,0.28421052631578947,0.05263157894736842,0.1368421052631579,0.28421052631578947,0.05263157894736842,0.031578947368421054,0.28421052631578947,0.09473684210526316,0.1368421052631579,0.11578947368421053,0.35789473684210527,0.0,0.2,0.05263157894736842,0.06315789473684211,0.16842105263157894,0.15789473684210525,True,39,0.1395308378944001,0.49541961819325625,-0.001709881247147141,-0.003217923773283999,-0.014168190272432194,0.021252907328952145,0.35708522730135983,2.6600619558429828,0.22712313368244957,5.0,39,,0.4644587741066248
reward_dense,double_dqn,test,0.0001,32,1000,256x256,high_activity,103,27,0.1650485436893204,increase_sleep,0.34951456310679613,False,0.34951456310679613,0.23300970873786409,0.08737864077669903,0.14563106796116504,0.23300970873786409,0.019417475728155338,0.34951456310679613,0.06796116504854369,0.08737864077669903,0.0970873786407767,0.44660194174757284,0.1650485436893204,0.0,0.06796116504854369,0.02912621359223301,0.14563106796116504,0.14563106796116504,True,29,0.12306252661293682,0.5239433024838133,0.06498943436111307,0.06701463075172412,0.18750579744340098,0.09155081538027471,0.5019388484552387,3.5311770656989796,0.3574003132993935,5.0,29,1.0,0.5503082599105507
reward_dense,double_dqn,test,0.0001,32,1000,256x256,low_social,125,30,0.168,none,0.296,False,0.272,0.208,0.04,0.296,0.208,0.032,0.272,0.048,0.04,0.104,0.4,0.088,0.064,0.032,0.016,0.136,0.264,True,33,0.14088813400888467,0.584820867061615,0.016818476782138686,-0.0029901014416336626,-0.010089686274216957,0.04710757193524032,0.5337284147560808,3.1349083619990825,0.29635227105866774,5.0,33,1.0,0.5560223193782748
